,Effort,Strategy,Threshold,Listening_prob,AUCResult,AUCLow,AUCUpp,type,intervention cost,datacost,totalcost,costbenefit,mincost,maxcost
370,30,KP In-degree,3,1,63.47945205,63.47945205,63.47945205,Network,502,5160,5662,0.011211489,0.011211489,0.011211489
71,2,Leaders,1,0.2,27.06643836,11.94520548,43.67123288,Conventional,52,,52,0.52050843,0.22971549,0.839831402
72,2,Leaders,1,0.4,56.74041096,48.42465753,61.23287671,Conventional,52,,52,1.091161749,0.931243414,1.177555321
73,2,Leaders,1,0.6,63.03561644,60.35616438,64.75342466,Conventional,52,,52,1.212223393,1.160695469,1.245258167
74,2,Leaders,1,0.8,64.45547945,62.17808219,65.32876712,Conventional,52,,52,1.239528451,1.19573235,1.256322445
75,2,Leaders,1,1,65.93150685,65.93150685,65.93150685,Conventional,52,,52,1.267913593,1.267913593,1.267913593
76,2,Leaders,3,0.2,0.260273973,0.260273973,0.260273973,Conventional,52,,52,0.005005269,0.005005269,0.005005269
77,2,Leaders,3,0.4,0.260273973,0.260273973,0.260273973,Conventional,52,,52,0.005005269,0.005005269,0.005005269
78,2,Leaders,3,0.6,0.260273973,0.260273973,0.260273973,Conventional,52,,52,0.005005269,0.005005269,0.005005269
79,2,Leaders,3,0.8,0.260273973,0.260273973,0.260273973,Conventional,52,,52,0.005005269,0.005005269,0.005005269
80,2,Leaders,3,1,0.260273973,0.260273973,0.260273973,Conventional,52,,52,0.005005269,0.005005269,0.005005269
191,10,Leaders,1,0.2,68.76027397,64.94520548,72.10958904,Conventional,146,,146,0.470960781,0.444830175,0.493901295
192,10,Leaders,1,0.4,80.48630137,78.28767123,81.78082192,Conventional,146,,146,0.551276037,0.536216926,0.560142616
193,10,Leaders,1,0.6,83.46575342,82.89041096,84.19178082,Conventional,146,,146,0.571683243,0.567742541,0.576656033
194,10,Leaders,1,0.8,84.42054795,83.95890411,84.82191781,Conventional,146,,146,0.578222931,0.575060987,0.58097204
195,10,Leaders,1,1,85.15068493,85.15068493,85.15068493,Conventional,146,,146,0.583223869,0.583223869,0.583223869
196,10,Leaders,3,0.2,2.739726027,2.739726027,2.739726027,Conventional,146,,146,0.018765247,0.018765247,0.018765247
197,10,Leaders,3,0.4,2.739726027,2.739726027,2.739726027,Conventional,146,,146,0.018765247,0.018765247,0.018765247
198,10,Leaders,3,0.6,2.739726027,2.739726027,2.739726027,Conventional,146,,146,0.018765247,0.018765247,0.018765247
199,10,Leaders,3,0.8,2.739726027,2.739726027,2.739726027,Conventional,146,,146,0.018765247,0.018765247,0.018765247
200,10,Leaders,3,1,2.739726027,2.739726027,2.739726027,Conventional,146,,146,0.018765247,0.018765247,0.018765247
311,20,Leaders,1,0.2,76.20410959,72.5890411,77.82191781,Conventional,348,,348,0.218977326,0.208589199,0.223626201
312,20,Leaders,1,0.4,85.2609589,83.82191781,85.97260274,Conventional,348,,348,0.245002755,0.24086758,0.247047709
313,20,Leaders,1,0.6,87.28561644,86.68493151,87.69863014,Conventional,348,,348,0.250820737,0.249094631,0.252007558
314,20,Leaders,1,0.8,87.79383562,87.35616438,88.01369863,Conventional,348,,348,0.252281137,0.251023461,0.252912927
315,20,Leaders,1,1,88.24657534,88.24657534,88.24657534,Conventional,348,,348,0.253582113,0.253582113,0.253582113
316,20,Leaders,3,0.2,6.579452055,6.315068493,6.767123288,Conventional,348,,348,0.018906471,0.018146749,0.019445757
